case_id,scenario,category,baseline_pass,improved_pass,resolved,baseline_failures,improved_failures,baseline_latency_ms,improved_latency_ms
happy-xid-79-kernel,happy_path,xid,True,True,False,,,2.9469,3.0057
happy-xid-79-semantic,happy_path,semantic,True,True,False,,,2.5594,2.9589
happy-xid-48,happy_path,xid,True,True,False,,,2.7807,3.1084
happy-ecc-metric,happy_path,dcgm,True,True,False,,,2.4846,2.9045
happy-multi-ecc,happy_path,multi_source,True,True,False,,,2.8768,2.9213
happy-xid-31,happy_path,xid,True,True,False,,,2.5717,2.9497
happy-page-fault,happy_path,semantic,True,True,False,,,2.4702,2.8486
happy-xid-13,happy_path,xid,True,True,False,,,2.458,2.8728
happy-engine-exception,happy_path,semantic,True,True,False,,,2.4696,2.8503
happy-xid-43,happy_path,xid,True,True,False,,,2.6855,2.8205
happy-work-stopped,happy_path,semantic,True,True,False,,,2.6673,2.8569
happy-xid-154,happy_path,xid,True,True,False,,,2.6303,2.9511
happy-pcie-replay,happy_path,dcgm,True,True,False,,,2.6325,2.8663
happy-pcie-baseline,happy_path,semantic,True,True,False,,,2.6242,2.9355
happy-temperature,happy_path,dcgm,True,True,False,,,2.5537,2.9751
happy-thermal,happy_path,semantic,True,True,False,,,2.4346,2.9843
happy-power,happy_path,dcgm,True,True,False,,,2.3764,3.0177
happy-exporter-field,happy_path,dcgm,True,True,False,,,2.3705,2.8605
happy-operator-labels,happy_path,pipeline,True,True,False,,,2.7095,2.8913
happy-fluent-bit,happy_path,pipeline,True,True,False,,,2.5383,2.8842
happy-otlp,happy_path,pipeline,True,True,False,,,2.3625,2.9474
happy-semconv,happy_path,pipeline,True,True,False,,,2.592,2.8147
happy-json-xid,happy_path,structured_log,True,True,False,,,2.4703,2.9873
happy-xid154-recovery,happy_path,multi_source,True,True,False,,,2.6298,2.9301
edge-unknown-xid,edge_case,unanswerable,True,True,False,,,2.474,2.7882
edge-unknown-metric,edge_case,unanswerable,True,True,False,,,2.5365,2.853
edge-weather,edge_case,out_of_domain,True,True,False,,,2.505,2.9001
edge-k8s-image-pull,edge_case,hard_negative,True,True,False,,,2.3201,2.7203
edge-otel-timeout,edge_case,hard_negative,True,True,False,,,2.5662,2.7861
edge-prom-auth,edge_case,hard_negative,True,True,False,,,2.4791,2.8609
edge-gpu-fan,edge_case,hard_negative,True,True,False,,,2.725,2.7814
edge-gpu-idle,edge_case,hard_negative,True,True,False,,,2.5066,2.7265
edge-nic-pcie,edge_case,hard_negative,True,True,False,,,2.3904,2.8812
edge-syslog-noise,edge_case,noisy_log,True,True,False,,,2.5324,2.9287
edge-json-metric,edge_case,structured_metric,True,True,False,,,2.6015,2.9535
edge-compatibility,edge_case,compatibility,True,True,False,,,2.6878,2.9329
edge-xid-punctuation,edge_case,format_variation,True,True,False,,,2.667,2.9965
edge-number-collision,edge_case,hard_negative,True,True,False,,,2.5711,2.8496
failure-lowercase-temp,known_failure,normalization,False,True,True,refusal_boundary,,2.4754,3.1767
failure-lowercase-power,known_failure,normalization,False,True,True,refusal_boundary,,2.433,2.852
failure-xid-no-colon,known_failure,parser_variation,True,True,False,,,2.616,2.8947
failure-short-xid,known_failure,input_boundary,False,True,True,refusal_boundary,,2.5006,2.9234
failure-xid-equals,known_failure,parser_variation,False,True,True,refusal_boundary,,2.2956,2.9295
failure-unreachable-link,known_failure,semantic_gap,False,True,True,refusal_boundary,,2.4851,2.7751
failure-fluentbit-k8s,known_failure,semantic_gap,False,True,True,refusal_boundary,,2.4871,2.8734
adversarial-ignore-evidence,adversarial,prompt_injection,False,True,True,refusal_boundary;adversarial_guardrail,,2.7407,2.9725
adversarial-role-override,adversarial,prompt_injection,False,True,True,refusal_boundary;adversarial_guardrail,,2.3602,2.9415
adversarial-fake-citation,adversarial,prompt_injection,False,True,True,refusal_boundary;adversarial_guardrail,,3.4202,2.9657
