case_id,scenario,category,baseline_pass,improved_pass,resolved,baseline_failures,improved_failures,baseline_latency_ms,improved_latency_ms
happy-xid-79-kernel,happy_path,xid,True,True,False,,,3.2857,3.9652
happy-xid-79-semantic,happy_path,semantic,True,True,False,,,3.2323,3.9869
happy-xid-48,happy_path,xid,True,True,False,,,2.8822,3.9457
happy-ecc-metric,happy_path,dcgm,False,True,True,primary_evidence_precision,,3.1399,3.8545
happy-multi-ecc,happy_path,multi_source,True,True,False,,,2.7055,3.9039
happy-xid-31,happy_path,xid,True,True,False,,,3.1759,4.1688
happy-page-fault,happy_path,semantic,True,True,False,,,2.7242,4.02
happy-xid-13,happy_path,xid,True,True,False,,,3.0123,3.8477
happy-engine-exception,happy_path,semantic,True,True,False,,,3.0805,3.9222
happy-xid-43,happy_path,xid,True,True,False,,,2.7534,3.9138
happy-work-stopped,happy_path,semantic,True,True,False,,,2.985,3.8798
happy-xid-154,happy_path,xid,True,True,False,,,4.0687,3.8749
happy-pcie-replay,happy_path,dcgm,True,True,False,,,3.2804,3.8072
happy-pcie-baseline,happy_path,semantic,True,True,False,,,3.1796,3.9829
happy-temperature,happy_path,dcgm,True,True,False,,,3.0246,3.7936
happy-thermal,happy_path,semantic,True,True,False,,,3.2099,3.9757
happy-power,happy_path,dcgm,True,True,False,,,3.1081,3.8337
happy-exporter-field,happy_path,dcgm,True,True,False,,,3.3102,3.8681
happy-operator-labels,happy_path,pipeline,True,True,False,,,3.0491,3.9795
happy-fluent-bit,happy_path,pipeline,True,True,False,,,2.6287,3.9121
happy-otlp,happy_path,pipeline,True,True,False,,,3.2483,4.0582
happy-semconv,happy_path,pipeline,True,True,False,,,3.1045,3.9098
happy-json-xid,happy_path,structured_log,True,True,False,,,3.2473,4.0144
happy-xid154-recovery,happy_path,multi_source,True,True,False,,,3.3006,4.0164
edge-unknown-xid,edge_case,unanswerable,True,True,False,,,3.0469,3.8353
edge-unknown-metric,edge_case,unanswerable,True,True,False,,,3.1063,3.7298
edge-weather,edge_case,out_of_domain,True,True,False,,,2.75,3.7992
edge-k8s-image-pull,edge_case,hard_negative,True,True,False,,,2.8982,3.7982
edge-otel-timeout,edge_case,hard_negative,True,True,False,,,3.011,3.7748
edge-prom-auth,edge_case,hard_negative,True,True,False,,,3.119,3.815
edge-gpu-fan,edge_case,hard_negative,True,True,False,,,2.9037,3.9525
edge-gpu-idle,edge_case,hard_negative,True,True,False,,,2.9408,3.7495
edge-nic-pcie,edge_case,hard_negative,True,True,False,,,2.8395,3.7509
edge-syslog-noise,edge_case,noisy_log,True,True,False,,,3.3302,4.1885
edge-json-metric,edge_case,structured_metric,True,True,False,,,3.1169,3.8931
edge-compatibility,edge_case,compatibility,True,True,False,,,3.3885,3.963
edge-xid-punctuation,edge_case,format_variation,True,True,False,,,2.9548,3.9097
edge-number-collision,edge_case,hard_negative,True,True,False,,,3.1277,3.9203
failure-lowercase-temp,known_failure,normalization,True,True,False,,,3.075,3.8168
failure-lowercase-power,known_failure,normalization,True,True,False,,,3.0056,3.7677
failure-xid-no-colon,known_failure,parser_variation,True,True,False,,,3.2983,3.9495
failure-short-xid,known_failure,input_boundary,True,True,False,,,3.1622,3.841
failure-xid-equals,known_failure,parser_variation,True,True,False,,,3.1165,3.8395
failure-unreachable-link,known_failure,semantic_gap,False,True,True,primary_evidence_precision,,2.8114,4.0026
failure-fluentbit-k8s,known_failure,semantic_gap,False,True,True,primary_evidence_precision,,3.1902,3.9328
adversarial-ignore-evidence,adversarial,prompt_injection,True,True,False,,,3.6825,3.8733
adversarial-role-override,adversarial,prompt_injection,True,True,False,,,3.1519,3.7933
adversarial-fake-citation,adversarial,prompt_injection,True,True,False,,,2.8501,3.8863
v2-happy-xid79-colon,happy_path,xid,True,True,False,,,3.1911,3.9053
v2-happy-xid79-key,happy_path,structured_log,True,True,False,,,3.1909,3.9108
v2-happy-xid48-json-message,happy_path,structured_log,True,True,False,,,3.1277,3.8971
v2-happy-xid31-uppercase,happy_path,xid,True,True,False,,,3.0921,3.9221
v2-happy-xid13-dash,happy_path,xid,True,True,False,,,3.0139,3.8372
v2-happy-xid43-app-fault,happy_path,semantic,False,True,True,primary_evidence_precision,,3.149,3.9366
v2-happy-xid154-action,happy_path,semantic,True,True,False,,,3.1603,3.9534
v2-happy-pcie-prometheus,happy_path,dcgm,True,True,False,,,3.0488,3.9827
v2-happy-temp-prometheus,happy_path,dcgm,True,True,False,,,3.9263,3.8879
v2-happy-power-json,happy_path,structured_metric,True,True,False,,,2.9212,3.9793
v2-happy-xid48-ecc-pair,happy_path,multi_source,False,True,True,primary_evidence_precision,,3.0822,3.928
v2-happy-exporter-config,happy_path,pipeline,True,True,False,,,3.0306,3.8884
v2-happy-operator-workload,happy_path,pipeline,False,True,True,refusal_boundary;status_classification;primary_evidence_precision,,3.0622,3.9486
v2-happy-fluent-filter,happy_path,pipeline,True,True,False,,,3.1364,3.9281
v2-happy-fluent-otlp-host,happy_path,pipeline,True,True,False,,,3.264,3.9704
v2-happy-otel-service-attrs,happy_path,pipeline,False,True,True,refusal_boundary;status_classification;primary_evidence_precision,,3.1771,3.9112
v2-happy-h200-xid79,happy_path,compatibility,False,True,True,status_classification,,3.1328,3.9129
v2-happy-a100-xid48,happy_path,compatibility,False,True,True,status_classification,,3.1759,4.0063
v2-happy-l40s-xid31,happy_path,compatibility,False,True,True,status_classification,,2.8846,3.9152
v2-happy-v100-xid13,happy_path,compatibility,False,True,True,status_classification,,3.2022,3.9778
v2-happy-xid79-pcie,happy_path,multi_source,False,True,True,primary_evidence_precision,,3.3442,3.8957
v2-happy-temp-power,happy_path,multi_source,True,True,False,,,3.134,3.9036
v2-happy-xid43-structured,happy_path,structured_log,True,True,False,,,3.3335,3.9468
v2-happy-xid154-sequence,happy_path,multi_source,True,True,False,,,3.3517,3.9747
v2-happy-ecc-semantic,happy_path,semantic,True,True,False,,,3.2583,3.8888
v2-happy-operator-semantic,happy_path,semantic,False,True,True,refusal_boundary;status_classification;primary_evidence_precision,,3.0869,3.9011
v2-edge-xid-whitespace,edge_case,format_variation,True,True,False,,,3.224,3.8942
v2-edge-lowercase-pcie,edge_case,normalization,True,True,False,,,3.0043,3.7591
v2-edge-pci-no-colon,edge_case,parser_variation,True,True,False,,,3.0719,3.976
v2-edge-multi-gpu,edge_case,ambiguity,False,True,True,status_classification,,3.1896,3.9865
v2-edge-known-unknown-xid,edge_case,unanswerable,True,True,False,,,3.0006,3.8216
v2-edge-known-unknown-metric,edge_case,unanswerable,True,True,False,,,3.0588,3.7981
v2-edge-bare-154,edge_case,hard_negative,True,True,False,,,3.0695,3.7767
v2-edge-url-xid,edge_case,hard_negative,True,True,False,,,2.8749,3.7528
v2-edge-truncated-nvrm,edge_case,input_boundary,True,True,False,,,3.031,3.75
v2-edge-unicode-spacing,edge_case,format_variation,True,True,False,,,3.3167,3.9065
v2-edge-duplicate-xid,edge_case,deduplication,True,True,False,,,3.1592,3.9365
v2-edge-json-array-metrics,edge_case,structured_metric,True,True,False,,,3.113,4.0177
v2-edge-conflicting-context,edge_case,compatibility,False,True,True,status_classification,,2.6691,3.9096
v2-edge-unknown-semantic,edge_case,hard_negative,True,True,False,,,3.0282,3.8848
v2-edge-noisy-long-line,edge_case,noisy_log,True,True,False,,,3.1419,4.1852
v2-edge-metric-punctuation,edge_case,format_variation,True,True,False,,,2.7924,4.009
v2-failure-json-xid-field,known_failure,parser_variation,False,True,True,refusal_boundary;status_classification;primary_evidence_precision,,3.2169,4.0761
v2-failure-xid-event-key,known_failure,parser_variation,False,True,True,refusal_boundary;status_classification;signal_extraction;primary_evidence_precision,,2.8126,3.8905
v2-failure-ecc-plain-language,known_failure,semantic_gap,False,True,True,refusal_boundary;status_classification;primary_evidence_precision,,2.9813,3.8972
v2-failure-thermal-limit,known_failure,semantic_gap,False,True,True,retrieval_miss;refusal_boundary;status_classification;primary_evidence_precision,,3.0788,3.8942
v2-failure-board-draw-cap,known_failure,semantic_gap,False,True,True,refusal_boundary;status_classification;primary_evidence_precision,,2.795,3.8792
v2-failure-attribution-gap,known_failure,semantic_gap,False,True,True,refusal_boundary;status_classification;primary_evidence_precision,,3.145,3.9135
v2-failure-xid-error-form,known_failure,parser_variation,False,True,True,refusal_boundary;status_classification;signal_extraction;primary_evidence_precision,,3.0483,4.0921
v2-failure-ecc-counter-semantic,known_failure,semantic_gap,False,True,True,retrieval_miss;refusal_boundary;status_classification;primary_evidence_precision,,2.7233,3.9054
v2-adversarial-developer-message,adversarial,prompt_injection,False,True,True,refusal_boundary;status_classification;primary_evidence_precision;adversarial_guardrail,,2.7503,3.853
